container_type_id,name,volume,weight
2083,3TV1423R G2 KH BEL PAP TROPL 4/6 ,3.0,550.0
2085,5TV1423R G2 KH BEL 80 TROPL 4/6,5.0,700.0
2197,5SVG5 2HKPF EVOL 80 TROPL 4/6,5.0,700.0
2331,3TV1423R KH BEL 80 TROPL,3.0,550.0
2392,3TV1423R KH BEL PAP TROPL G2,3.0,550.0
2393,Nieuw West 5 kuub RU KI PAP,5.0,700.0
2394,4M3 KH GLAS RUB TR 5/7 VERSTEL,4.0,650.0
2427,Sidcon pers Rest 5m3,5.0,1070.0
3049,4 M3 1-H GLAS TRANEN 4E GEN.,4.0,650.0
3140,7TV KHFC SNAAS AMS REST TRINL,7.0,650.0
3141,"4,8TV KHFC SNAAS AMS REST TRINL",5.0,630.0
3287,Bovengronds Textiel Symphanie,3.0,350.0
3288,3 m3 1 Haaks Glas Metro,3.0,550.0
3289,4 m3 1 Haaks Glas Metro,4.0,550.0
3290,3 m3 KH Metro,3.0,550.0
3291,4 m3 KH Glas Bammens Downcost,4.0,650.0
3292,3 m3 KH Glas Bammens Downcost,3.0,550.0
3293,3 m3 KH Glas Bammens Inwerpzuil 2002,3.0,550.0
3294,5 m3 KH Glas Bammens Inwerpzuil 2002,5.0,700.0
3295,4 m3 KH Glas Bammens Inwerpzuil 2002,4.0,650.0
3296,3 m3 1 Haaks Glas Bammens Downcost,3.0,550.0
3298,3 m3 1 Haaks Papier Metro,3.0,550.0
3299,4 m3 1 Haaks Papier Metro,4.0,550.0
3300,5 m3 1 Haaks Papier Metro,5.0,600.0
3301,4 m3 KH Papier Metro,4.0,550.0
3302,5 m3 KH Papier Bammens Downcost,5.0,700.0
3305,5 m3 KH Papier Metro,5.0,600.0
3310,4 m3 1 Haaks Rest Metro,4.0,550.0
3311,5 m3 1 Haaks Rest Metro,5.0,600.0
3312,3 m3 1 Haaks Rest Metro,3.0,550.0
3313,5 m3 KH Rest Metro,5.0,600.0
3314,5 m3 KH Rest Bammens Downcost,5.0,700.0
3315,5 m3 KH Rest Bammens Inwerpzuil 2002,5.0,700.0
3317,Pers Rest Icova Metro Klem,5.0,1600.0
3318,"3,5m3 KH Glas Icova",3.0,800.0
3319,"3,5m3 KH Papier Icova",3.0,800.0
3320,5m3 KHC Rest Amsterdam Standaard 1380*1380*2690,5.0,630.0
3321,7m3 KHC Rest Amsterdam Standaard,7.0,700.0
3322,5m3 KHC Papier Amsterdam Standaard 1380*1380*2690,5.0,630.0
3323,5m3 KHC Glas Amsterdam Standaard 1380*1380*2690,5.0,630.0
3324,5m3 KHC Plastic Amsterdam Standaard 1380*1380*2690,5.0,630.0
3327,Poolse Container,3.4,350.0
3328,"Engels, upperground, 4,8m3",4.0,350.0
3485,5M3 Papier KH BG Bauer,5.0,350.0
3531,5M3 Kunststof/ Plastic KH BG MCB,5.0,376.0
3540,3M3 GFT KH OC Vconsyst,3.0,550.0
3552,5M3 Glas wit 3HKZ OC Vconsyst,5.0,600.0
3553,5M3 Papier 3HKZ OC Vconsyst,5.0,700.0
3554,4M3 Rest 3HKZ OC Vconsyst,4.0,650.0
3555,5M3 Rest 1 HK OC Vconsyst,5.0,700.0
3556,5M3 Rest 3HKZ OC Vconsyst,5.0,700.0
3557,5M3 Rest KH OC Vconsyst,5.0,700.0
3559,5M3 Textiel 3HKZ OC Vconsyst,5.0,650.0
3564,5m3 KHC Textiel Amsterdam Standaard 1380*1380*2690,5.0,630.0
3565,"4,65m3 KHC Rest Amsterdam Standaard 1380*1380*2489",4.0,610.0
3566,"4,65m3 KHC Papier Amsterdam Standaard 1380*1380*2489",4.0,610.0
3567,"4,65m3 KHC Glas Amsterdam Standaard 1380*1380*2489",4.0,610.0
3568,"4,65m3 KHC Plastic Amsterdam Standaard 1380*1380*2489",4.0,610.0
3570,3m3 KHC Rest Amsterdam Standaard 1380*1380*1470,3.0,520.0
3571,3m3 KHC Papier Amsterdam Standaard 1380*1380*1470,3.0,520.0
3572,3m3 KHC Glas Amsterdam Standaard 1380*1380*1470,3.0,520.0
3573,3m3 KHC Plastic Amsterdam Standaard 1380*1380*1470,3.0,520.0
3574,5m3 KHC Rest Amsterdam Standaard 1338*1338*2690,5.0,630.0
