,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,well_id,stadsdeel,buurt_code,well_type,well_neighbourhood,well_address,well_longitude,well_latitude,postal_code
39,39,39,39,7323,M,M57a,Point,57a - Betondorp,"Veeteeltstraat 19, Amsterdam",4.947583582245444,52.34142292298763,1097WL
40,40,40,40,7325,M,M57a,Point,57a - Betondorp,"Sikkelstraat 21, Amsterdam",4.948291406035424,52.340346961132475,1097ZC
41,41,41,41,7327,M,M57a,Point,57a - Betondorp,"Zuivelplein 9, Amsterdam",4.946211352944375,52.33980862897725,Geen resultaat.
42,42,42,42,7329,M,M57a,Point,57a - Betondorp,"Egstraat 37, Amsterdam",4.945065993808838,52.34312079734994,1097SW
43,43,43,43,7341,M,M57a,Point,57a - Betondorp,"Veeteeltstraat 19, Amsterdam",4.947609398507212,52.34143562297754,1097WL
44,44,44,44,7343,M,M57a,Point,57a - Betondorp,"Sikkelstraat 63, Amsterdam",4.94826726615429,52.34024945548993,1097ZD
45,45,45,45,7345,M,M57a,Point,57a - Betondorp,"Zuivelplein 9, Amsterdam",4.946290478110313,52.33983157172944,Geen resultaat.
46,46,46,46,7347,M,M57a,Point,57a - Betondorp,"Egstraat 33, Amsterdam",4.945095498108003,52.3431197731964,1097SW
47,47,47,47,7357,M,M57a,Point,57a - Betondorp,"Akkerstraat 36, Amsterdam",4.945201948257818,52.339474455521234,Geen resultaat.
48,48,48,48,7371,M,M57a,Point,57a - Betondorp,"Graanstraat 45, Amsterdam",4.94101873442105,52.3395709909365,1097TB
49,49,49,49,7451,M,M57a,Point,57a - Betondorp,"Zuivelplein 9, Amsterdam",4.946240466081235,52.33981429638544,Geen resultaat.
50,50,50,50,7453,M,M57a,Point,57a - Betondorp,"Zuivelplein 9, Amsterdam",4.94626823811359,52.33982160256088,Geen resultaat.
51,51,51,51,7455,M,M29a,Point,29a - Dapperbuurt Noord,"Eerste Van Swindenstraat 83, Amsterdam",4.925513416528703,52.362291320593776,1093EX
52,52,52,52,7459,M,M29b,Point,29b - Dapperbuurt Zuid,"Eerste Van Swindenstraat 134, Amsterdam",4.930000081658363,52.363147542876256,Geen resultaat.
53,53,53,53,7461,M,M29a,Point,29b - Dapperbuurt Zuid,"Eerste Van Swindenstraat 66, Amsterdam",4.927128235112832,52.362632813173974,1093GG
54,54,54,54,7463,M,M29b,Point,29b - Dapperbuurt Zuid,"Eerste Van Swindenstraat 72, Amsterdam",4.927860014140607,52.36269773137384,1093GH
55,55,55,55,7465,M,M29b,Point,29b - Dapperbuurt Zuid,"2E V SWINDENSTRAAT 119, Amsterdam, Nederland",4.9302106,52.362737599999996,Geen resultaat.
56,56,56,56,7467,M,M29b,Point,29b - Dapperbuurt Zuid,"Tweede van Swindenstraat 57, Amsterdam",4.928270839147898,52.36232278258721,Geen resultaat.
57,57,57,57,7471,M,M29b,Point,29b - Dapperbuurt Zuid,"Tweede van Swindenstraat 50, Amsterdam",4.92682233452797,52.361936910962925,1093VV
58,58,58,58,7505,M,M29b,Point,29b - Dapperbuurt Zuid,"Pieter Nieuwlandstraat 31, Amsterdam",4.928395114839077,52.361792976026145,Geen resultaat.
59,59,59,59,7519,M,M29a,Point,29a - Dapperbuurt Noord,"Pontanusstraat 30, Amsterdam",4.929936379194261,52.364270720834895,Geen resultaat.
60,60,60,60,7539,M,M29b,Point,29b - Dapperbuurt Zuid,"Van Swindendwarsstraat 75, Amsterdam",4.926028177114858,52.361019991673366,1093XC
61,61,61,61,7547,M,M29a,Point,29a - Dapperbuurt Noord,"Von Zesenstraat 364, Amsterdam",4.928144663572311,52.364681822216674,1093BJ
62,62,62,62,7551,M,M29a,Point,29a - Dapperbuurt Noord,"Wagenaarstraat 17, Amsterdam",4.924256801605225,52.36269998351385,1093CC
63,63,63,63,7553,M,M29a,Point,29a - Dapperbuurt Noord,"Wagenaarstraat 17, Amsterdam",4.924272224307061,52.36268626593206,1093CC
64,64,64,64,7555,M,M29a,Point,29a - Dapperbuurt Noord,"Wagenaarstraat 240, Amsterdam",4.926559422158335,52.36306865046127,1093CX
65,65,65,65,7557,M,M29a,Point,29a - Dapperbuurt Noord,"Wagenaarstraat 244, Amsterdam",4.926559478044512,52.36306462394041,1093CX
66,66,66,66,7587,M,M29a,Point,29a - Dapperbuurt Noord,"Wagenaarstraat 60, Amsterdam",4.9265781976214384,52.363096699597634,Geen resultaat.
67,67,67,67,7589,M,M29b,Point,29b - Dapperbuurt Zuid,"Eerste Van Swindenstraat 136, Amsterdam",4.9300282448530215,52.36315655134387,Geen resultaat.
68,68,68,68,7611,M,M29a,Point,29a - Dapperbuurt Noord,"Wagenaarstraat 248, Amsterdam",4.926547352217766,52.36309014797612,1093CX
69,69,69,69,7613,M,M29b,Point,29b - Dapperbuurt Zuid,"Eerste Van Swindenstraat 136, Amsterdam",4.930045343935491,52.363161669790536,Geen resultaat.
70,70,70,70,7635,M,M35e,Point,35e - Haveneiland Noordwest,"Erich Salomonstraat 44, Amsterdam",4.992226660251618,52.35946947777782,1087AW
71,71,71,71,7637,M,M35e,Point,35e - Haveneiland Noordwest,"Erich Salomonstraat 49, Amsterdam",4.992096237838268,52.35965672579618,1087AV
72,72,72,72,7639,M,M35e,Point,35e - Haveneiland Noordwest,"Erich Salomonstraat 49, Amsterdam",4.992077127099038,52.359667065876856,1087AV
73,73,73,73,7695,M,M35f,Point,35f - Haveneiland Noordoost,"IJburglaan 791, Amsterdam",4.992522,52.3568662,1087CL
74,74,74,74,7781,M,M35f,Point,35f - Haveneiland Noordoost,"Lumièrestraat 62, Amsterdam",5.002464875565238,52.35470238858561,1087KH
75,75,75,75,7783,M,M35f,Point,35f - Haveneiland Noordoost,"Lumièrestraat 32, Amsterdam",5.000620521591373,52.35347207092636,1087KH
76,76,76,76,7785,M,M35f,Point,35f - Haveneiland Noordoost,"Lumièrestraat 32, Amsterdam",5.000643320368,52.35348394832448,1087KH
77,77,77,77,7805,M,M56a,Point,56a - Linnaeusparkbuurt,"Linnaeuskade 6, Amsterdam",4.929080698632333,52.35545459655821,Geen resultaat.
78,78,78,78,7843,M,M35e,Point,35e - Haveneiland Noordwest,"Cas Oorthuyskade 230, Amsterdam",4.990618117146824,52.360753818754674,1087DP
79,79,79,79,7967,M,M31c,Point,31c - Zuidwestkwadrant Indische buurt,"Sumatrastraat 146, Amsterdam",4.937286861227221,52.35875105502082,1094NM
80,80,80,80,7969,M,M31c,Point,31c - Zuidwestkwadrant Indische buurt,"Sumatrastraat 146, Amsterdam",4.937280155704683,52.358768254714136,1094NM
81,81,81,81,8353,M,M31a,Point,M31 - Indische Buurt West,"Soendastraat 14, Amsterdam, Nederland",4.938571400000002,52.36519860000001,Geen resultaat.
82,82,82,82,8355,M,M31a,Point,31a - Noordwestkwadrant Indische buurt Noord,"Soendastraat 14, Amsterdam",4.938661269843579,52.36520275669484,Geen resultaat.
83,83,83,83,8569,M,M31c,Point,31c - Zuidwestkwadrant Indische buurt,"Ambonplein 1, Amsterdam",4.937002543510972,52.35989375259713,1094PW
84,84,84,84,8705,M,M55h,Point,55h - Tuindorp Frankendael,"F.C. Dondersstraat 11, Amsterdam",4.930679909871288,52.34716513130903,Geen resultaat.
85,85,85,85,8721,M,M55h,Point,55h - Tuindorp Frankendael,"Korteweghof 13, Amsterdam",4.933247454450794,52.34556920759861,Geen resultaat.
86,86,86,86,8723,M,M55h,Point,55h - Tuindorp Frankendael,"Korteweghof 1, Amsterdam",4.933125805102918,52.34612085098739,Geen resultaat.
87,87,87,87,8745,M,M55h,Point,55h - Tuindorp Frankendael,"Middenweg 88, Amsterdam",4.936190899454687,52.350113984030074,Geen resultaat.
88,88,88,88,8747,M,M55h,Point,55h - Tuindorp Frankendael,"Middenweg 88, Amsterdam",4.936217386268709,52.35009800975885,Geen resultaat.
89,89,89,89,8749,M,M55h,Point,55h - Tuindorp Frankendael,"Minckelersstraat 13, Amsterdam",4.932265486561391,52.34813128710416,Geen resultaat.
90,90,90,90,8751,M,M55h,Point,55h - Tuindorp Frankendael,"Oudemanshof 1, Amsterdam",4.9343143589726415,52.345387395897944,1097LK
91,91,91,91,8753,M,M55h,Point,55h - Tuindorp Frankendael,"Oudemanshof 18, Amsterdam",4.934479328803717,52.34478599913143,Geen resultaat.
92,92,92,92,8773,M,M55h,Point,55h - Tuindorp Frankendael,"Ritzema Bosstraat 1, Amsterdam",4.935196470462415,52.346606059353405,Geen resultaat.
93,93,93,93,8779,M,M55h,Point,55h - Tuindorp Frankendael,"Röntgenstraat 23, Amsterdam",4.937650021158789,52.34800287261624,Geen resultaat.
94,94,94,94,8781,M,M55h,Point,55h - Tuindorp Frankendael,"Röntgenstraat 25, Amsterdam",4.937623199068637,52.34798689758208,Geen resultaat.
95,95,95,95,8785,M,M55h,Point,55h - Tuindorp Frankendael,"Van 't Hofflaan 1, Amsterdam",4.937880355857943,52.34896423135215,Geen resultaat.
96,96,96,96,8787,M,M55h,Point,55h - Tuindorp Frankendael,"Van 't Hofflaan 1, Amsterdam",4.937857221805189,52.34895153352471,Geen resultaat.
97,97,97,97,8791,M,M55h,Point,55h - Tuindorp Frankendael,"Robert Kochplantsoen 10, Amsterdam",4.936069026562111,52.347865855792676,Geen resultaat.
98,98,98,98,8799,M,M55h,Point,55h - Tuindorp Frankendael,"F.C. Dondersstraat 12, Amsterdam",4.930657502256964,52.347180560474044,Geen resultaat.
99,99,99,99,8801,M,M55h,Point,55h - Tuindorp Frankendael,"Korteweghof 1, Amsterdam",4.933148268603419,52.34613238899861,Geen resultaat.
100,100,100,100,8803,M,M55h,Point,55h - Tuindorp Frankendael,"Pekelharingstraat 5, Amsterdam",4.9343358166447615,52.34540009474914,Geen resultaat.
101,101,101,101,8819,M,M55h,Point,55h - Tuindorp Frankendael,"F.C. Dondersstraat 12, Amsterdam",4.930634703480337,52.347196057903204,Geen resultaat.
102,102,102,102,8821,M,M55h,Point,55h - Tuindorp Frankendael,"Korteweghof 1, Amsterdam",4.9331006593934035,52.34610692344194,Geen resultaat.
103,103,103,103,8823,M,M55h,Point,55h - Tuindorp Frankendael,"Oudemanshof 3, Amsterdam",4.934292901300523,52.345374287402535,Geen resultaat.
104,104,104,104,8831,M,M55c,Point,55c - Julianapark,"Bart de Ligtstraat 1, Amsterdam",4.923618771135806,52.34621820713732,1097JG
105,105,105,105,8833,M,M55c,Point,55c - Julianapark,"Schagerlaan 27, Amsterdam",4.9241117,52.3482044,1097HN
106,106,106,106,8835,M,M55c,Point,55c - Julianapark,"Schagerlaan 85, Amsterdam",4.925078900000001,52.347582700000004,1097HP
107,107,107,107,8837,M,M55c,Point,55c - Julianapark,"Schagerlaan 18, Amsterdam",4.923317,52.347416100000004,1097HR
108,108,108,108,8839,M,M55c,Point,55c - Julianapark,"Schagerlaan 18, Amsterdam",4.923297499999999,52.3474044,1097HR
109,109,109,109,8841,M,M55c,Point,55c - Julianapark,"Kees Boekestraat 1, Amsterdam",4.9220081,52.3467732,Geen resultaat.
110,110,110,110,8843,M,M55c,Point,55c - Julianapark,"Kees Boekestraat 1, Amsterdam",4.921986591064068,52.346759465196115,Geen resultaat.
111,111,111,111,8845,M,M55c,Point,55c - Julianapark,"Kees Boekestraat 1, Amsterdam",4.922406356774901,52.347010156642376,Geen resultaat.
112,112,112,112,8847,M,M55c,Point,55c - Julianapark,"Benno Stokvisstraat 2, Amsterdam",4.922633729875089,52.346366903565645,1097HZ
113,113,113,113,8849,M,M55c,Point,55c - Julianapark,"Benno Stokvisstraat 2, Amsterdam",4.922608919441701,52.346356253149395,1097HZ
114,114,114,114,8851,M,M55c,Point,55c - Julianapark,"Benno Stokvisstraat 20, Amsterdam",4.923227168619633,52.34671959474686,1097HZ
115,115,115,115,8855,M,M55c,Point,55c - Julianapark,"Bertrand Russellstraat 17, Amsterdam",4.9213179387152195,52.347912620423315,1097HL
116,116,116,116,8857,M,M55c,Point,55c - Julianapark,"Bertrand Russellstraat 17, Amsterdam",4.921308215707541,52.34793023395178,1097HL
117,117,117,117,8859,M,M55c,Point,55c - Julianapark,"Schagerlaan 76, Amsterdam",4.925404116511347,52.34616946081644,Geen resultaat.
118,118,118,118,8863,M,M55c,Point,55c - Julianapark,"Schagerlaan 76, Amsterdam",4.925384670495988,52.34618215944303,Geen resultaat.
119,119,119,119,8867,M,M56b,Point,56b - Middenmeer Noord,"Galileïplantsoen 17, Amsterdam",4.93730094282455,52.35297813216469,1098LV
120,120,120,120,8869,M,M56b,Point,56b - Middenmeer Noord,"Copernicusstraat 59, Amsterdam",4.938236810266972,52.35555357033742,1098JE
121,121,121,121,8871,M,M56b,Point,56b - Middenmeer Noord,"Copernicusstraat 47, Amsterdam",4.9377558007972775,52.35507221438361,1098JD
122,122,122,122,8873,M,M56b,Point,56b - Middenmeer Noord,"Copernicusstraat 16, Amsterdam",4.935684241340823,52.35384026878361,Geen resultaat.
123,123,123,123,8875,M,M56b,Point,56b - Middenmeer Noord,"Copernicusstraat 16, Amsterdam",4.935705699012941,52.353850507834814,Geen resultaat.
124,124,124,124,8877,M,M56b,Point,56b - Middenmeer Noord,"Newtonstraat 22, Amsterdam",4.93647951631374,52.3552991048899,1098HD
125,125,125,125,8879,M,M56b,Point,56b - Middenmeer Noord,"Newtonstraat 51, Amsterdam",4.935583546730414,52.3557658512883,1098GZ
126,126,126,126,8881,M,M56b,Point,56b - Middenmeer Noord,"Newtonstraat 69, Amsterdam",4.936130717369451,52.35613443957735,Geen resultaat.
127,127,127,127,8883,M,M56b,Point,56b - Middenmeer Noord,"Newtonstraat 95, Amsterdam",4.936921969028846,52.356597218298454,Geen resultaat.
128,128,128,128,8885,M,M56a,Point,56a - Linnaeusparkbuurt,"Hogeweg 2, Amsterdam",4.93100445716209,52.35390320477972,Geen resultaat.
129,129,129,129,8887,M,M56a,Point,56a - Linnaeusparkbuurt,"Hogeweg 2, Amsterdam",4.9310232326251935,52.35391726639042,Geen resultaat.
130,130,130,130,8889,M,M56a,Point,56a - Linnaeusparkbuurt,"Hogeweg 21, Amsterdam",4.932027049349018,52.35462088724329,Geen resultaat.
131,131,131,131,8891,M,M56a,Point,56a - Linnaeusparkbuurt,"Hogeweg 21, Amsterdam",4.932001791908079,52.35461051186059,Geen resultaat.
132,132,132,132,8893,M,M56a,Point,56a - Linnaeusparkbuurt,"Linnaeuskade 57, Amsterdam",4.935481909196825,52.35670965299742,Geen resultaat.
133,133,133,133,8895,M,M56a,Point,56a - Linnaeusparkbuurt,"Linnaeuskade 57, Amsterdam",4.935454081278295,52.35673150555061,Geen resultaat.
134,134,134,134,8897,M,M56a,Point,56a - Linnaeusparkbuurt,"Mr. P.N. Arntzeniusweg 22, Amsterdam",4.9343364313108395,52.35594823461642,1098GP
135,135,135,135,8899,M,M56a,Point,56a - Linnaeusparkbuurt,"Mr. P.N. Arntzeniusweg 22, Amsterdam",4.934312291429706,52.35593308153906,1098GP
136,136,136,136,8901,M,M56a,Point,56a - Linnaeusparkbuurt,"LINNAEUSKADE  4, Amsterdam, Nederland",4.9291051,52.35546770000001,Geen resultaat.
